Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Liquido
Juan Perez,998973,69928.11,119876.76,809168.13
Maria Garcia,1762121,123348.47000000002,211454.52,1427318.01
Carlos Lopez,1163778,81464.46,139653.36,942660.18
Ana Martinez,2028421,141989.47,243410.52,1643021.01
Pedro Rodriguez,1364680,95527.6,163761.6,1105390.7999999998
Laura Hernandez,1539351,107754.57,184722.12,1246874.31
Miguel Sanchez,794234,55596.380000000005,95308.08,643329.54
Isabel Gomez,389905,27293.350000000002,46788.6,315823.05000000005
Francisco Diaz,1418218,99275.26000000001,170186.16,1148756.58
Elena Fernandez,2420590,169441.30000000002,290470.8,1960677.9000000001
